Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2016,7.4,137203.0,65.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2015,7.3,368912.0,64.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.7,43086.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,6.8,101781.0,83.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2015,7.0,117018.0,67.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,8.0,22389.0,85.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,6.3,11944.0,53.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,6.6,97454.0,66.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2011,7.8,461509.0,78.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6.3,106364.0,75.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.2,27382.0,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,8.1,268282.0,93.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,5.8,22107.0,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2011,8.2,355722.0,71.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,6.9,547368.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,8.1,459304.0,73.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8.1,532353.0,73.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,6.3,97082.0,52.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.9,471815.0,71.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.5,12193.0,47.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016,7.3,79855.0,58.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,7.9,737719.0,79.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.7,70504.0,33.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,7.8,550011.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.5,5435.0,81.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,7.5,26089.0,90.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,6.8,227912.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,6.1,161396.0,43.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5.3,114290.0,63.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.1,531112.0,61.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,7.0,443584.0,54.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.5,73568.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,7.8,542362.0,70.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.7,7044.0,41.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7.7,456749.0,66.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6.7,61098.0,51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.1,283445.0,73.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,6.9,136399.0,83.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2011,7.8,348551.0,71.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2013,7.0,334867.0,44.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.0,19660.0,79.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.1,121313.0,82.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,6.4,179450.0,51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.0,268877.0,56.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2006,8.2,498879.0,98.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2016,5.2,3305.0,50.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,7.8,247926.0,68.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.4,257472.0,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,6.1,66766.0,35.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8.0,377336.0,67.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,6.8,41446.0,81.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
