Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2014,8.1,532353,73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,6.3,97082,52,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.9,471815,71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.5,12193,47,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016,7.3,79855,58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,7.9,737719,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.7,70504,33,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,7.8,550011,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.5,5435,81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,7.5,26089,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,6.8,227912,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,6.1,161396,43,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5.3,114290,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.1,531112,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,7,443584,54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.5,73568,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,7.8,542362,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.7,7044,41,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7.7,456749,66,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6.7,61098,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.1,283445,73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,6.9,136399,83,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2011,7.8,348551,71,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2013,7,334867,44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7,19660,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.1,121313,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,6.4,179450,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,268877,56,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2006,8.2,498879,98,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2016,5.2,3305,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,7.8,247926,68,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.4,257472,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,6.1,66766,35,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8,377336,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,6.8,41446,81,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,3.9,4895,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,8.1,530881,88,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5.9,96852,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,7.6,332234,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2015,8.2,416689,94,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.8,1109,48,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6.5,205365,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5.9,148949,47,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,7.6,257426,63,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
2006,7.9,382910,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.4,14708,83,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.1,188017,75,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8.6,557965,57,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4.9,178,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,7.3,50946,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,7.9,139831,72,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,6.7,342183,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7.5,330305,68,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2009,7.8,611563,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,5.8,210349,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7.6,422290,68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.4,69823,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,7.1,664,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7.8,440299,88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,8,581518,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2014,6.2,21715,79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,90556,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,59312,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4.9,53441,53,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,6,75137,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7.5,298651,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.7,388447,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
